tiempo_s,x_est,y_est,phi_est,dist_raw_m,dist_ema_m,dist_kalman_m,vl,vr,waypoint_idx,modo
0.320,-0.8941,0.9000,0.0000,0.0700,0.0700,0.0657,3.000,3.000,0,MOVING
0.576,-0.8784,0.9000,0.0000,0.0700,0.0700,0.0588,3.000,3.000,0,MOVING
0.832,-0.8627,0.9000,0.0000,0.0700,0.0700,0.0550,3.000,3.000,0,MOVING
1.088,-0.8470,0.9000,0.0000,0.0700,0.0700,0.0530,3.000,3.000,0,MOVING
1.344,-0.8311,0.9000,0.0000,0.0700,0.0700,0.0520,3.000,3.000,0,MOVING
1.600,-0.8154,0.9000,0.0000,0.0700,0.0700,0.0516,3.000,3.000,0,MOVING
1.856,-0.7997,0.9000,0.0000,0.0700,0.0700,0.0515,3.000,3.000,0,MOVING
2.112,-0.7840,0.9000,0.0000,0.0700,0.0700,0.0514,3.000,3.000,0,MOVING
2.368,-0.7683,0.9000,0.0000,0.0700,0.0700,0.0514,3.000,3.000,0,MOVING
2.624,-0.7525,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
2.880,-0.7368,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
3.136,-0.7211,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
3.392,-0.7053,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
3.648,-0.6896,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
3.904,-0.6738,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
4.160,-0.6581,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
4.416,-0.6424,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
4.672,-0.6267,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
4.928,-0.6110,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
5.184,-0.5951,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
5.440,-0.5794,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
5.696,-0.5637,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
5.952,-0.5480,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
6.208,-0.5323,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
6.464,-0.5165,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
6.720,-0.5008,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
6.976,-0.4851,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
7.232,-0.4694,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
7.488,-0.4537,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
7.744,-0.4378,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
8.000,-0.4221,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
8.256,-0.4064,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
8.512,-0.3907,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
8.768,-0.3750,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
9.024,-0.3592,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
9.280,-0.3435,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
9.536,-0.3278,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
9.792,-0.3120,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
10.048,-0.2963,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
10.304,-0.2805,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
10.560,-0.2648,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
10.816,-0.2491,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
11.072,-0.2334,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
11.328,-0.2177,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
11.584,-0.2018,0.9000,0.0000,0.0700,0.0700,0.0512,3.000,3.000,0,MOVING
11.840,-0.1861,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
12.096,-0.1704,0.9000,0.0000,0.0700,0.0700,0.0513,3.000,3.000,0,MOVING
12.352,-0.1549,0.9000,0.0000,0.0700,0.0700,0.0514,2.653,2.653,0,MOVING
12.608,-0.1430,0.9000,0.0000,0.0700,0.0700,0.0541,1.853,1.853,0,MOVING
12.864,-0.1346,0.9000,0.0000,0.0700,0.0700,0.0575,1.288,1.288,0,MOVING
13.120,-0.1288,0.9000,0.0000,0.0700,0.0700,0.0607,0.800,0.800,0,APPROACH
13.376,-0.1246,0.9000,0.0000,0.0700,0.0700,0.0631,0.800,0.800,0,APPROACH
13.632,-0.1204,0.9000,0.0000,0.0700,0.0700,0.0641,0.800,0.800,0,APPROACH
