tiempo_s,x_est,y_est,phi_est,dist_raw_m,dist_ema_m,dist_kalman_m,vl,vr,dist_acum_m,error_pos_meta_m,error_wp_actual_m,waypoint_idx,modo
0.096,-0.9000,0.9000,0.0000,0.0700,0.0700,0.0700,0.350,-0.350,0.0000,2.5456,1.2000,0,TURNING
0.320,-0.8999,0.9000,-0.0550,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
0.576,-0.8999,0.9000,-0.1180,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
0.832,-0.8999,0.9000,-0.1809,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
1.088,-0.8999,0.9000,-0.2439,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
1.344,-0.8999,0.9000,-0.3069,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
1.600,-0.8999,0.9000,-0.3699,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
1.856,-0.8999,0.9000,-0.4329,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
2.112,-0.8999,0.9000,-0.4958,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
2.368,-0.8999,0.9000,-0.5588,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
2.624,-0.8999,0.9000,-0.6217,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
2.880,-0.8999,0.9000,-0.6847,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
3.136,-0.8999,0.9000,-0.7476,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
3.392,-0.8999,0.9000,-0.8105,0.0700,0.0700,0.0700,0.350,-0.350,0.0001,2.5455,1.2000,0,TURNING
